Work,Theme,Type
The Golden Ass: Book 4,ransom kidnapping,minor
The Golden Ass: Book 4,what if I fell into the clutches of a person with malicious intent,minor
The Golden Ass: Book 4,coping with the death of a lover,minor
The Golden Ass: Book 4,prisoners being exploited for entertainment,minor
The Golden Ass: Book 7,engaged couple,major
The Golden Ass: Book 7,the desire for vengeance,major
The Golden Ass: Book 7,romantic love,major
The Golden Ass: Book 7,what if I was accused of a crime that I didn't commit,minor
The Golden Ass: Book 7,coping with being tortured,minor
The Golden Ass: Book 7,facing death,minor
The Golden Ass: Book 7,coping with a massive loss of comrades,minor
The Golden Ass: Book 7,prostitution,minor
The Golden Ass: Book 7,misogyny,minor
The Golden Ass: Book 7,what if I fell into the clutches of a person with malicious intent,minor
The Golden Ass: Book 7,contemplating suicide,minor
The Golden Ass: Book 7,poetic justice,minor
The Golden Ass: Book 7,theft,minor
The Golden Ass: Book 7,murder,minor
The Golden Ass: Book 7,coping with the death of a child,minor
The Golden Ass: Book 7,band of outlaws,minor
The Golden Ass: Book 7,leadership,minor
The Golden Ass: Book 7,damsel in distress,minor
The Golden Ass: Book 8,the desire for vengeance,major
The Golden Ass: Book 8,romantic jealousy,major
The Golden Ass: Book 8,love triangle,major
The Golden Ass: Book 8,husband and wife,major
The Golden Ass: Book 8,band of outlaws,minor
The Golden Ass: Book 8,human vs. beast,minor
The Golden Ass: Book 8,betrayal,minor
The Golden Ass: Book 8,hunting,minor
The Golden Ass: Book 8,murder,minor
The Golden Ass: Book 8,coping with the death of a spouse,minor
The Golden Ass: Book 8,unrequited love,minor
The Golden Ass: Book 8,coping with unwelcome romantic attention,minor
The Golden Ass: Book 8,mutilation as punishment,minor
The Golden Ass: Book 8,vigilante justice,minor
The Golden Ass: Book 8,suicide,minor
The Golden Ass: Book 8,extramarital affair,minor
The Golden Ass: Book 8,hell hath no fury like a woman scorned,minor
The Golden Ass: Book 8,coping with being tortured,minor
The Golden Ass: Book 8,master and slave,minor
The Golden Ass: Book 8,religious occupation,minor
The Golden Ass: Book 8,homosexuality in society,minor
The Golden Ass: Book 8,grandfather and grandson,minor
The Golden Ass: Book 8,shapeshifter,minor
The Golden Ass: Book 8,mortification of the flesh,minor
The Golden Ass: Book 9,extramarital affair,minor
The Golden Ass: Book 9,contagious disease in society,minor
The Golden Ass: Book 9,religious prophesy,minor
The Golden Ass: Book 9,heresy,minor
The Golden Ass: Book 9,con artistry,minor
The Golden Ass: Book 9,female stereotype,minor
The Golden Ass: Book 9,old woman as a witch stereotype,minor
The Golden Ass: Book 9,witchcraft,minor
The Golden Ass: Book 9,ghost,minor
The Golden Ass: Book 9,spouse murder,minor
The Golden Ass: Book 9,coping with the death of a parent,minor
The Golden Ass: Book 9,helping a stranger in need,minor
The Golden Ass: Book 9,the crime of adultery,minor
The Golden Ass: Book 9,male homosexuality,minor
The Golden Ass: Book 9,divorce,minor
The Golden Ass: Book 9,omens,minor
The Golden Ass: Book 9,human vs. beast,minor
The Golden Ass: Book 9,suicide,minor
The Golden Ass: Book 9,military related work,minor
The Golden Ass: Book 9,embarrassment,minor
The Golden Ass: Book 9,Christianity,minor
The Golden Ass: Book 9,the desire for vengeance,minor
The Golden Ass: The Tale of the Wife's Tub,husband and wife,major
The Golden Ass: The Tale of the Wife's Tub,extramarital affair,major
The Golden Ass: The Tale of the Jealous Husband,husband and wife,major
The Golden Ass: The Tale of the Jealous Husband,extramarital affair,major
The Golden Ass: The Tale of the Jealous Husband,controlling partner,major
The Golden Ass: The Tale of the Jealous Husband,infatuation,major
The Golden Ass: The Tale of the Jealous Husband,duty vs. desire,minor
The Golden Ass: The Tale of the Jealous Husband,greed for riches,minor
The Golden Ass: The Tale of the Jealous Husband,betrayal,minor
The Golden Ass: The Tale of the Fuller's Wife,husband and wife,major
The Golden Ass: The Tale of the Fuller's Wife,extramarital affair,major
The Golden Ass: Cupid and Psyche,jealousy,choice
The Golden Ass: Cupid and Psyche,female-female rivalry,choice
The Golden Ass: Cupid and Psyche,curiosity killed the cat,major
The Golden Ass: Cupid and Psyche,mother and son,major
The Golden Ass: Cupid and Psyche,husband and wife,major
The Golden Ass: Cupid and Psyche,poetic justice,major
The Golden Ass: Cupid and Psyche,obsessive love,major
The Golden Ass: Cupid and Psyche,mother-in-law and daughter-in-law,major
The Golden Ass: Cupid and Psyche,female vanity,major
The Golden Ass: Cupid and Psyche,Ancient Roman mythology,major
The Golden Ass: Cupid and Psyche,epic love,major
The Golden Ass: Cupid and Psyche,hubris,minor
The Golden Ass: Cupid and Psyche,father and daughter,minor
The Golden Ass: Cupid and Psyche,beating one's self up,minor
The Golden Ass: Cupid and Psyche,loneliness,minor
The Golden Ass: Cupid and Psyche,sister and sister,minor
The Golden Ass: Cupid and Psyche,coping with the death of a family member,minor
The Golden Ass: Cupid and Psyche,greed for riches,minor
The Golden Ass: Cupid and Psyche,pride,minor
The Golden Ass: Cupid and Psyche,abandonment,minor
The Golden Ass: Cupid and Psyche,parental disappointment in a child,minor
The Golden Ass: Cupid and Psyche,duty vs. compassion,minor
The Golden Ass: Cupid and Psyche,suicide,minor
The Golden Ass: Cupid and Psyche,apotheosis,minor
The Golden Ass: Cupid and Psyche,sexual debut,minor
The Golden Ass: Cupid and Psyche,feeling neglected in a relationship,minor
The Golden Ass: Cupid and Psyche,family honor,minor
The Golden Ass: Cupid and Psyche,journey into the underworld,minor
The Golden Ass: Cupid and Psyche,apotheosis,minor
Down and Out in Paris and London,what it is like to be impoverished,choice
Down and Out in Paris and London,life in late modern France,choice
Down and Out in Paris and London,life in late modern Britain,choice
Down and Out in Paris and London,coping with starvation,major
Down and Out in Paris and London,friendship,major
Down and Out in Paris and London,the hospitality industry,major
Down and Out in Paris and London,creative writing,minor
Down and Out in Paris and London,coping with stress at work,minor
Down and Out in Paris and London,working together under stress,minor
Down and Out in Paris and London,lookism in society,minor
Down and Out in Paris and London,language change,minor
A Passage to India,adapting to life in a foreign culture,choice
A Passage to India,conflict of cultural norms,choice
A Passage to India,racism in society,choice
A Passage to India,prejudice against someone of a different social class,choice
A Passage to India,guilt and evidence,major
A Passage to India,the British Raj,major
A Passage to India,cross cultural romance,minor
Children of Time,war of mutual annihilation,choice
Children of Time,cooperation vs. competition,choice
Children of Time,the theory of evolution,major
Children of Time,artificial intelligence,major
Children of Time,mind-computer merging,major
Children of Time,man vs. woman,major
Children of Time,collectively intelligent beings,major
Children of Time,cryogenic technology,major
Children of Time,what if I found myself in the future,major
Children of Time,desperation,major
Children of Time,biological weapons,major
Children of Time,manipulation of evolution on a planet,minor
Children of Time,playing God with nature,minor
Children of Time,eco-terrorism,minor
Children of Time,what if everyone vanished and I was all alone,minor
Dragon's Egg,speculative rise of civilization,choice
Dragon's Egg,time passing at different rates for different people,choice
Herland,utopia,choice
Herland,female-only society,choice
Herland,sexism in society,choice
Herland,nature vs. nurture,choice
Herland,female empowerment,choice
Herland,having a preconception challenged,major
Herland,human vs. captivity,major
Herland,foreign point of view,major
Herland,maternal love,major
Herland,sexually distinguished being,major
Herland,land exploration,minor
Herland,polygamy,minor
Herland,slavery,minor
Herland,polytheism,minor
Herland,cooperation vs. competition,minor
Herland,human overpopulation,minor
Herland,virgin birth,minor
Herland,organized religion,minor
Herland,the soul,minor
Herland,marriage ceremony,minor
Herland,husband and wife,minor
Herland,romantic love,minor
Herland,sexual assault,minor
Herland,what it is like in a legal proceeding,minor
Journey to the Center of the Earth,travel into the Earth,choice
Journey to the Center of the Earth,the thirst for knowledge,major
Journey to the Center of the Earth,uncle and nephew,major
Journey to the Center of the Earth,"human vs. speculative environment <underground, prehistoric>",major
Journey to the Center of the Earth,Hollow Earth,major
Journey to the Center of the Earth,geology,major
Journey to the Center of the Earth,academic occupation,major
Journey to the Center of the Earth,scientist occupation,major
Journey to the Center of the Earth,human character,major
Journey to the Center of the Earth,risk taking vs. playing it safe,major
Journey to the Center of the Earth,isolated prehistoric land,major
Journey to the Center of the Earth,wilderness expedition,major
Journey to the Center of the Earth,cryptographic cypher,minor
Journey to the Center of the Earth,romantic love,minor
Journey to the Center of the Earth,seasickness,minor
Journey to the Center of the Earth,heresy,minor
Journey to the Center of the Earth,hunting,minor
Journey to the Center of the Earth,hospitality,minor
Journey to the Center of the Earth,human pleasure,minor
Journey to the Center of the Earth,compassion,minor
Journey to the Center of the Earth,solitary confinement as a punishment,minor
Journey to the Center of the Earth,human in danger,minor
Journey to the Center of the Earth,despair,minor
Journey to the Center of the Earth,facing death,minor
Journey to the Center of the Earth,perilous voyage at sea,minor
Journey to the Center of the Earth,living dinosaur,minor
Journey to the Center of the Earth,electricity,minor
Journey to the Center of the Earth,cryptid,minor
Journey to the Center of the Earth,giant person,minor
Never Let Me Go,human childhood,choice
Never Let Me Go,teenage angst,choice
Never Let Me Go,romantic love,choice
Never Let Me Go,fear for one's life,choice
Never Let Me Go,coming to terms with one's own death,choice
Never Let Me Go,hope,choice
Never Let Me Go,friendship,choice
Never Let Me Go,people bread for organ donation,choice
Never Let Me Go,donating an organ to save a life,minor
Radetzky March,father and son,choice
Radetzky March,patriotism,choice
Radetzky March,honor,major
Radetzky March,family honor,major
Radetzky March,coping with the death of a friend,major
Radetzky March,problem gambling in society,major
Radetzky March,loyalty to a friend,major
Radetzky March,coping with aging,major
Radetzky March,revolution in society,major
Radetzky March,conservative vs. liberal,major
Radetzky March,human parenting,major
Radetzky March,what if I had to fight to the death,minor
Radetzky March,gambling,minor
Radetzky March,rise to prominence from humble beginnings,minor
Radetzky March,young and old romance,minor
Radetzky March,heroism,minor
Radetzky March,facing financial ruin,minor
Radetzky March,coping with the death of a child,minor
Seveneves,moon slowly spiraling into a planet,choice
Seveneves,society living in space,choice
Seveneves,speculative genetic engineering,major
Seveneves,genetically engineered person,major
Seveneves,playing God with nature,major
Seveneves,what if I found myself in a zero gravity environment,major
Seveneves,hominid evolution,major
Seveneves,future point of view,major
Seveneves,international politics,major
Seveneves,scientist occupation,major
Seveneves,revolution in society,minor
Seveneves,speculative terraforming,minor
Seveneves,smart ammunition,minor
Seveneves,astronomy,minor
Seveneves,biology,minor
Stoner,academic occupation,choice
Stoner,workplace rivalry,choice
Stoner,clash of wills,choice
Stoner,husband and wife,choice
Stoner,office politics,choice
Stoner,integrity,choice
Stoner,teaching occupation,choice
Stoner,father and daughter,major
Stoner,mother and daughter,major
Stoner,friendship,major
Stoner,favoritism at work,major
Stoner,extramarital affair,major
Stoner,romantic love,major
Stoner,father and son,minor
Stoner,mother and son,minor
Stoner,civilians suffering in war,minor
Stoner,coping with a terminal illness,minor
